ID	136078	FOXLINE-AS-ID PT. FOXLINE MEDIADATA INDONUSA
PH	137239	FPSTI-AS-AP Fil Products Service Television Incorporated
ID	136082	FROZBIT-ID-AS-ID PT. Frozbit Multimedia Indonesia
VG	56647	FUSIONMEDIA
CZ	49013	FUSION_MEDIA
ID	136874	GARUDA-AS-ID PT. Garuda Media Telematika
ID	132677	GARUDAINFORMATIKA-AS-ID PT Garuda Media Informatika
ID	140413	GAYUHNET-AS-ID PT. GAYUH MEDIA INFORMATIKA
AU	134507	GBMPL-AS-AP Gee Bees Media Pty Ltd
KR	9781	GCS-AS-KR GREEN CABLE TELEVISION STATION
RO	33823	GEMENII-NETWORK PHOENIX TELECOM & MEDIA SERVICES
MD	8917	GENERALMEDIA-AS
US	30094	GIGANEWS
ID	137298	GIRADIA-AS-ID PT Pelangi Nusantara Multimedia
ID	64297	GLOBALMANDIRI-AS-ID PT Medialink Global Mandiri
ID	136865	GLOBALMEDIANET-AS-ID PT. GLOBAL MEDIA REMBANG
ID	138810	GLOSINDO-AS-ID PT Global Media Pratama Solusindo
ID	138089	GMDP-AS-ID PT.Global Media Data Prima
ID	45324	GMEDIA-AS-ID Global Media Teknologi, PT
ID	55666	GMEDIA-AS-ID PT Media Sarana Data
ID	138080	GMIS-AS-ID PT Global Media Inti Semesta
ID	38505	GMNUSANTARA-AS-ID PT Graha Multimedia Nusantara
ID	59282	GPM-AS-ID PT Giga Patra Multimedia
ID	38515	GRAHAMEDIA-NET-AS-ID GRAHAMEDIA INFORMASI, PT.
ID	18365	GRAMEDIA-ID GRAMEDIA, PT.
US	396482	GRAYTELEVISION
ID	138841	GROOVY-AS-ID PT Media Andalan Nusa
CN	63581	GXRTVNET GUANGXI RADIO & TELEVISION INFORMATION NETWORK CO.,LTD.
CN	58852	GZGD Guizhou provincial radio and television information Network Inc
IL	20800	Globes publisher Ltd.
PL	15443	Gremi Media SA
BR	266090	H NEWS TELECOMUNICACOES E INFORMATICA LTDA - ME
IN	141480	HAASHMED-AS Haash Media
JP	23822	HAGINET HAGI Television Co., Ltd.
